==== START logs for container metrics-server of pod kube-system/metrics-server-86cbb8457f-n7nnt ====
I0315 14:14:57.924973       1 serving.go:312] Generated self-signed cert (apiserver.local.config/certificates/apiserver.crt, apiserver.local.config/certificates/apiserver.key)
I0315 14:14:59.607369       1 secure_serving.go:116] Serving securely on [::]:443
E0315 14:15:07.164669       1 reststorage.go:135] unable to fetch node metrics for node "pc": no metrics known for node
E0315 14:15:07.859700       1 reststorage.go:160] unable to fetch pod metrics for pod kube-system/traefik-6f9cbd9bd4-9qk8w: no metrics known for pod
E0315 14:15:07.859716       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-clusterip-targetport-deployment-766dc94cd-fscsj: no metrics known for pod
E0315 14:15:07.859723       1 reststorage.go:160] unable to fetch pod metrics for pod default/http-5b85556b7f-p79fx: no metrics known for pod
E0315 14:15:07.859729       1 reststorage.go:160] unable to fetch pod metrics for pod default/redis-slave-xswfw: no metrics known for pod
E0315 14:15:07.859734       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-nodeport-deployment-c6f8d6774-vdtns: no metrics known for pod
E0315 14:15:07.859740       1 reststorage.go:160] unable to fetch pod metrics for pod kubernetes-dashboard/kubernetes-dashboard-9f9799597-jmr5l: no metrics known for pod
E0315 14:15:07.859746       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-externalip-deployment-7fdd9c8bb-j8jj8: no metrics known for pod
E0315 14:15:07.859752       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-externalip-deployment-7fdd9c8bb-jttfm: no metrics known for pod
E0315 14:15:07.859758       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-clusterip-deployment-664dbb4554-2lp59: no metrics known for pod
E0315 14:15:07.859764       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-clusterip-deployment-664dbb4554-bntbw: no metrics known for pod
E0315 14:15:07.859773       1 reststorage.go:160] unable to fetch pod metrics for pod default/webapp1-795cbf979b-vkrpj: no metrics known for pod
E0315 14:15:07.859779       1 reststorage.go:160] unable to fetch pod metrics for pod default/first-deployment-5db7596fb5-w97l8: no metrics known for pod
E0315 14:15:07.859788       1 reststorage.go:160] unable to fetch pod metrics for pod kube-system/svclb-traefik-2sb7h: no metrics known for pod
E0315 14:15:07.859794       1 reststorage.go:160] unable to fetch pod metrics for pod default/frontend-w5ssl: no metrics known for pod
E0315 14:15:07.859802       1 reststorage.go:160] unable to fetch pod metrics for pod default/frontend-vdpd7: no metrics known for pod
E0315 14:15:07.859809       1 reststorage.go:160] unable to fetch pod metrics for pod default/httpexposed: no metrics known for pod
E0315 14:15:07.859817       1 reststorage.go:160] unable to fetch pod metrics for pod kube-system/local-path-provisioner-5ff76fc89d-2r7ck: no metrics known for pod
E0315 14:15:07.859823       1 reststorage.go:160] unable to fetch pod metrics for pod kube-system/metrics-server-86cbb8457f-n7nnt: no metrics known for pod
E0315 14:15:07.859830       1 reststorage.go:160] unable to fetch pod metrics for pod default/frontend-bsz9t: no metrics known for pod
E0315 14:15:07.859836       1 reststorage.go:160] unable to fetch pod metrics for pod default/http-5b85556b7f-csmhk: no metrics known for pod
E0315 14:15:07.859842       1 reststorage.go:160] unable to fetch pod metrics for pod default/redis-master-xlvrc: no metrics known for pod
E0315 14:15:07.859848       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-nodeport-deployment-c6f8d6774-598fb: no metrics known for pod
E0315 14:15:07.859854       1 reststorage.go:160] unable to fetch pod metrics for pod default/redis-slave-mj4v6: no metrics known for pod
E0315 14:15:07.859861       1 reststorage.go:160] unable to fetch pod metrics for pod kube-system/coredns-854c77959c-vmtnr: no metrics known for pod
E0315 14:15:07.859869       1 reststorage.go:160] unable to fetch pod metrics for pod network/webapp1-clusterip-targetport-deployment-766dc94cd-n44jh: no metrics known for pod
E0315 14:15:07.859876       1 reststorage.go:160] unable to fetch pod metrics for pod kubernetes-dashboard/dashboard-metrics-scraper-79c5968bdc-57jt2: no metrics known for pod
E0316 10:58:26.909430       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/webapp3-676fb6447b-gf2kz: no metrics known for pod
E0316 10:58:26.915576       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/webapp1-795cbf979b-tsrt9: no metrics known for pod
E0316 11:11:26.870087       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:12:26.873846       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:13:26.863851       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:14:26.859020       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:15:26.864003       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:16:26.860911       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:17:26.858182       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
